date,company_name,currency,total_assets,current_assets,total_liabilities,current_liabilities,total_debt,shareholder_equity,dividends_paid,net_income,operation_cash_flow,revenue,working_capital,country,debt_to_assets,debt_to_equity,roa,debt_change,log_total_assets
2019-03-31,APEI,USD,377747000.0,238444000.0,56294000.0,40530000.0,11613000.0,321453000.0,0.0,1011000.0,7895000.0,73441000.0,197914000.0,USA,0.030742798751545345,,0.0026763945180239682,,19.749735217325163
2019-06-30,APEI,USD,376084000.0,239951000.0,57628000.0,42191000.0,11145000.0,318456000.0,0.0,4921000.0,15825000.0,70560000.0,197760000.0,USA,0.029634337009816956,,0.013084842747896747,-468000.0,19.745323080658473
2019-09-30,APEI,USD,361106000.0,230010000.0,60328000.0,45697000.0,10669000.0,300778000.0,0.0,-1638000.0,8216000.0,67888000.0,184313000.0,USA,0.029545341257137793,,-0.0045360642027548696,-476000.0,19.704682102005517
2019-12-31,APEI,USD,354897000.0,222909000.0,58164000.0,45278000.0,11778000.0,296733000.0,0.0,5719000.0,6434000.0,74381000.0,177631000.0,USA,0.03318709372014979,,0.016114534639627837,1109000.0,19.68733816449562
2020-03-31,APEI,USD,345259000.0,215505000.0,59910000.0,45751000.0,11222000.0,285349000.0,0.0,2420000.0,11522000.0,74616000.0,169754000.0,USA,0.0325031353273919,,0.007009230751406915,-556000.0,19.65980541798053
2020-06-30,APEI,USD,361701000.0,234987000.0,68090000.0,53852000.0,10656000.0,293611000.0,0.0,6689000.0,20223000.0,82127000.0,181135000.0,USA,0.029460797730722337,,0.01849317530225241,-566000.0,19.70632846164065
2020-09-30,APEI,USD,370199000.0,247632000.0,72155000.0,59793000.0,9471000.0,298044000.0,0.0,2642000.0,12988000.0,79133000.0,187839000.0,USA,0.025583537502802546,,0.00713670215208577,-1185000.0,19.72955125685745
2020-12-31,APEI,USD,371018000.0,251810000.0,64093000.0,55058000.0,8847000.0,306925000.0,0.0,7071000.0,77000.0,85909000.0,196752000.0,USA,0.02384520427580333,,0.019058374526303306,-624000.0,19.731761136914987
2021-03-31,APEI,USD,463199000.0,343556000.0,62555000.0,50490000.0,10004000.0,400644000.0,0.0,8107000.0,11226000.0,88541000.0,293066000.0,USA,0.021597628665001437,,0.017502196680044647,1157000.0,19.953667325326084
2021-06-30,APEI,USD,468916000.0,350467000.0,65791000.0,54330000.0,9376000.0,403125000.0,0.0,531000.0,-2328000.0,78014000.0,296137000.0,USA,0.0199950524187701,,0.0011323989797746292,-628000.0,19.96593420589182
2021-09-30,APEI,USD,723187000.0,189908000.0,318749000.0,90129000.0,249382000.0,404438000.0,0.0,-267000.0,-8319000.0,98248000.0,99779000.0,USA,0.3448375039927432,,-0.00036919911447523253,240006000.0,20.39917839121696
2021-12-31,APEI,USD,725608000.0,202637000.0,309996000.0,83678000.0,243714000.0,415612000.0,0.0,9381000.0,15686000.0,154000000.0,118959000.0,USA,0.3358755691778481,,0.012928468263855967,-5668000.0,20.402520482062748
2022-03-31,APEI,USD,771410000.0,224900000.0,348229000.0,93702000.0,270237000.0,423181000.0,0.0,5333000.0,25255000.0,154747000.0,131198000.0,USA,0.350315655747268,,0.006913314579795439,26523000.0,20.463730567097468
2022-06-30,APEI,USD,662068000.0,230736000.0,346066000.0,95055000.0,274463000.0,316002000.0,0.0,-110029000.0,20136000.0,149608000.0,135681000.0,USA,0.4145540941413873,,-0.16618987777690508,4226000.0,20.310878827659277
2022-09-30,APEI,USD,660827000.0,228673000.0,345475000.0,95838000.0,272725000.0,315352000.0,1488000.0,-3762000.0,6854000.0,149535000.0,132835000.0,USA,0.412702568145672,,-0.005692866665556946,-1738000.0,20.309002638900477
2022-12-31,APEI,USD,615056000.0,186091000.0,265329000.0,70758000.0,208967000.0,349727000.0,1488000.0,-6535000.0,-23030000.0,152438000.0,115333000.0,USA,0.3397528029968003,,-0.01062504877604641,-63758000.0,20.237223878535932
