,Mean,Median,Std_Dev,Coef_Var,Minimum,Maximum,Skewness,Observations
total_assets,3353117139.566,1774514506.7474,4338565284.0637,1.2939,168665462.754,25397716681.9682,2.8047,160
current_assets,759623800.361,531037569.0063,795351420.2784,1.047,52745380.4888,5353256673.2742,2.8831,160
total_liabilities,3353117139.566,1774514506.7474,4338565284.0637,1.2939,168665462.754,25397716681.9682,2.8047,160
current_liabilities,401656207.8541,248995501.9619,477823379.5501,1.1896,42298376.2447,3038000615.8465,2.9019,160
total_debt,995901284.7259,335810392.3327,1397243429.4579,1.403,8628614.5878,9012231210.1437,2.7991,160
shareholder_equity,1917268823.7078,805994519.1528,2619385815.7999,1.3662,49137697.5169,13794272842.7163,2.7823,160
dividends_paid,-6594167.341,0.0,29225468.024,-4.432,-256361002.2853,0.0,-5.9066,160
net_income,55050726.653,20864420.6095,122502207.8032,2.2253,-547404124.0404,613276820.1048,1.1367,160
operation_cash_flow,47411874.8863,19252164.5277,76022271.7976,1.6034,-79077765.5027,398461514.1757,2.1724,160
revenue,454574265.6238,270970767.6036,493957836.0597,1.0866,0.0,2082869183.1436,1.2139,160
debt_to_assets,0.3423,0.3089,0.2548,0.7444,0.0108,0.9911,1.1902,160
debt_to_equity,0.782,0.5941,0.8006,1.0237,0.0131,3.2406,1.7585,160
roa,0.0391,0.0212,0.0568,1.4544,-0.0856,0.262,1.4745,160
working_capital,1374232062.5,937504500.0,1724547700.4727,1.2549,-1230450000.0,12030302000.0,3.1553,160
