,Mean,Median,Std_Dev,Coef_Var,Minimum,Maximum,Skewness,Observations
total_assets,1291218172.043,998939500.0,929213537.616,0.7196,216027000.0,3768190000.0,0.5029,186
current_assets,336271064.5161,274954500.0,218896469.1697,0.651,84930000.0,1514953000.0,2.4472,186
total_liabilities,449542833.3333,279721500.0,442038056.5756,0.9833,56294000.0,2501219000.0,2.1542,186
current_liabilities,191415397.8495,149735000.0,139335889.7186,0.7279,35961000.0,648763000.0,1.1411,186
total_debt,227781403.2258,117075500.0,316205377.4067,1.3882,2300000.0,1828317000.0,2.7598,186
shareholder_equity,840990978.4946,738604500.0,601496065.1999,0.7152,32323000.0,1748319000.0,0.1013,186
dividends_paid,5449161.2903,0.0,14840199.2343,2.7234,0.0,153262000.0,6.9686,186
net_income,24980279.5699,20927000.0,28847059.1311,1.1548,-110029000.0,153431000.0,0.1468,186
operation_cash_flow,40534758.0645,31300500.0,48054474.075,1.1855,-62849000.0,214044000.0,0.635,186
revenue,181432358.1081,163949500.0,68365631.1936,0.3768,67888000.0,321471000.0,0.2534,148
debt_to_assets,0.1726,0.1051,0.15,0.8694,0.0014,0.575,0.9216,186
debt_to_equity,0.4176,0.1492,0.6623,1.5859,0.0016,3.8431,2.8145,160
roa,0.0263,0.023,0.0324,1.2338,-0.1662,0.1506,-0.715,186
working_capital,144855666.6667,115423500.0,167052006.4653,1.1532,-121476000.0,1115073000.0,3.2226,186
