Variable,Level,ADF_pvalue,KPSS_pvalue,Companies_Stationary
current_assets,First_Difference,0.0006,0.0708,1
current_assets,Original,0.2971,0.07,1
current_assets,Second_Difference,0.0,0.1,1
current_liabilities,First_Difference,0.0723,0.0862,1
current_liabilities,Original,0.5094,0.0184,0
current_liabilities,Second_Difference,0.0,0.1,2
debt_change,First_Difference,0.0,0.1,1
debt_change,Original,0.05,0.1,2
debt_to_assets,First_Difference,0.0,0.1,3
debt_to_assets,Original,0.3685,0.04,0
debt_to_equity,First_Difference,0.0,0.1,3
debt_to_equity,Original,0.5207,0.04,0
dividends_paid,First_Difference,0.0,0.1,1
dividends_paid,Original,0.115,0.1,0
net_income,First_Difference,0.0015,0.1,3
net_income,Original,0.5605,0.0486,0
operation_cash_flow,First_Difference,0.0001,0.1,2
operation_cash_flow,Original,0.2589,0.0522,1
revenue,First_Difference,0.0013,0.1,3
revenue,Original,0.4345,0.0591,0
roa,First_Difference,0.0009,0.1,3
roa,Original,0.4412,0.0179,0
shareholder_equity,First_Difference,0.0018,0.0497,1
shareholder_equity,Original,0.2861,0.0796,0
shareholder_equity,Second_Difference,0.0,0.1,2
total_assets,First_Difference,0.0004,0.0588,2
total_assets,Original,0.3589,0.0288,0
total_assets,Second_Difference,0.0,0.1,1
total_debt,First_Difference,0.05,0.1,2
total_debt,Original,0.7406,0.0107,0
total_debt,Second_Difference,0.0,0.1,1
total_liabilities,First_Difference,0.0004,0.0588,2
total_liabilities,Original,0.3589,0.0288,0
total_liabilities,Second_Difference,0.0,0.1,1
working_capital,First_Difference,0.0005,0.1,3
working_capital,Original,0.3072,0.0538,0
