Variable,Level,ADF_pvalue,KPSS_pvalue,Companies_Stationary
current_assets,First_Difference,0.0,0.0923,2
current_assets,Original,0.1256,0.0573,2
current_liabilities,First_Difference,0.0855,0.0982,1
current_liabilities,Original,0.492,0.0549,0
current_liabilities,Second_Difference,0.0166,0.1,3
debt_change,Original,0.0008,0.1,4
debt_change,Second_Difference,0.0,0.1,4
debt_to_assets,First_Difference,0.0,0.1,3
debt_to_assets,Original,0.2412,0.0402,1
debt_to_equity,First_Difference,0.1332,0.1,3
debt_to_equity,Original,0.0995,0.0251,0
debt_to_equity,Second_Difference,0.1534,0.1,0
dividends_paid,First_Difference,0.0,0.1,2
dividends_paid,Original,0.305,0.06,2
net_income,First_Difference,0.0061,0.1,1
net_income,Original,0.1505,0.0775,3
operation_cash_flow,First_Difference,0.0244,0.1,2
operation_cash_flow,Original,0.3872,0.0745,1
operation_cash_flow,Second_Difference,0.0016,0.1,1
revenue,First_Difference,0.0062,0.0807,3
revenue,Original,0.6194,0.0341,0
revenue,Second_Difference,0.0,0.0417,0
roa,First_Difference,0.041,0.1,1
roa,Original,0.2176,0.0666,2
roa,Second_Difference,0.0,0.1,1
shareholder_equity,First_Difference,0.0011,0.1,4
shareholder_equity,Original,0.495,0.0572,0
total_assets,First_Difference,0.0006,0.1,3
total_assets,Original,0.413,0.0401,1
total_debt,First_Difference,0.0008,0.1,4
total_debt,Original,0.2754,0.0384,0
total_liabilities,First_Difference,0.0001,0.1,3
total_liabilities,Original,0.3265,0.0454,1
working_capital,First_Difference,0.0,0.1,2
working_capital,Original,0.112,0.0757,2
