Country,Company,Variable,Transformation_Applied,Final_Stationary,Action
Brazil,COGNA EDUCAÇÃO S.A.,total_assets,Second Difference,True,Kept (Stationary/Transformed)
Brazil,SER EDUCACIONAL S.A.,total_assets,First Difference,True,Kept (Stationary/Transformed)
Brazil,YDUQS PARTICIPACOES S.A.,total_assets,First Difference,True,Kept (Stationary/Transformed)
Brazil,COGNA EDUCAÇÃO S.A.,current_assets,Second Difference,True,Kept (Stationary/Transformed)
Brazil,SER EDUCACIONAL S.A.,current_assets,First Difference,True,Kept (Stationary/Transformed)
Brazil,YDUQS PARTICIPACOES S.A.,current_assets,None,True,Kept (Stationary/Transformed)
Brazil,COGNA EDUCAÇÃO S.A.,total_liabilities,Second Difference,True,Kept (Stationary/Transformed)
Brazil,SER EDUCACIONAL S.A.,total_liabilities,First Difference,True,Kept (Stationary/Transformed)
Brazil,YDUQS PARTICIPACOES S.A.,total_liabilities,First Difference,True,Kept (Stationary/Transformed)
Brazil,COGNA EDUCAÇÃO S.A.,current_liabilities,Second Difference,True,Kept (Stationary/Transformed)
Brazil,SER EDUCACIONAL S.A.,current_liabilities,First Difference,True,Kept (Stationary/Transformed)
Brazil,YDUQS PARTICIPACOES S.A.,current_liabilities,Second Difference,True,Kept (Stationary/Transformed)
Brazil,COGNA EDUCAÇÃO S.A.,total_debt,First Difference,True,Kept (Stationary/Transformed)
Brazil,SER EDUCACIONAL S.A.,total_debt,Second Difference,True,Kept (Stationary/Transformed)
Brazil,YDUQS PARTICIPACOES S.A.,total_debt,First Difference,True,Kept (Stationary/Transformed)
Brazil,COGNA EDUCAÇÃO S.A.,shareholder_equity,Second Difference,True,Kept (Stationary/Transformed)
Brazil,SER EDUCACIONAL S.A.,shareholder_equity,Second Difference,True,Kept (Stationary/Transformed)
Brazil,YDUQS PARTICIPACOES S.A.,shareholder_equity,First Difference,True,Kept (Stationary/Transformed)
Brazil,COGNA EDUCAÇÃO S.A.,dividends_paid,First Difference,True,Kept (Stationary/Transformed)
Brazil,SER EDUCACIONAL S.A.,dividends_paid,None (Constant Series),True,Kept (Stationary/Transformed)
Brazil,YDUQS PARTICIPACOES S.A.,dividends_paid,None (Constant Series),True,Kept (Stationary/Transformed)
Brazil,COGNA EDUCAÇÃO S.A.,net_income,First Difference,True,Kept (Stationary/Transformed)
Brazil,SER EDUCACIONAL S.A.,net_income,First Difference,True,Kept (Stationary/Transformed)
Brazil,YDUQS PARTICIPACOES S.A.,net_income,First Difference,True,Kept (Stationary/Transformed)
Brazil,COGNA EDUCAÇÃO S.A.,operation_cash_flow,First Difference,True,Kept (Stationary/Transformed)
Brazil,SER EDUCACIONAL S.A.,operation_cash_flow,None,True,Kept (Stationary/Transformed)
Brazil,YDUQS PARTICIPACOES S.A.,operation_cash_flow,First Difference,True,Kept (Stationary/Transformed)
Brazil,COGNA EDUCAÇÃO S.A.,revenue,First Difference,True,Kept (Stationary/Transformed)
Brazil,SER EDUCACIONAL S.A.,revenue,First Difference,True,Kept (Stationary/Transformed)
Brazil,YDUQS PARTICIPACOES S.A.,revenue,First Difference,True,Kept (Stationary/Transformed)
Brazil,COGNA EDUCAÇÃO S.A.,working_capital,First Difference,True,Kept (Stationary/Transformed)
Brazil,SER EDUCACIONAL S.A.,working_capital,First Difference,True,Kept (Stationary/Transformed)
Brazil,YDUQS PARTICIPACOES S.A.,working_capital,First Difference,True,Kept (Stationary/Transformed)
Brazil,COGNA EDUCAÇÃO S.A.,debt_to_assets,First Difference,True,Kept (Stationary/Transformed)
Brazil,SER EDUCACIONAL S.A.,debt_to_assets,First Difference,True,Kept (Stationary/Transformed)
Brazil,YDUQS PARTICIPACOES S.A.,debt_to_assets,First Difference,True,Kept (Stationary/Transformed)
Brazil,COGNA EDUCAÇÃO S.A.,debt_to_equity,First Difference,True,Kept (Stationary/Transformed)
Brazil,SER EDUCACIONAL S.A.,debt_to_equity,First Difference,True,Kept (Stationary/Transformed)
