date,company_name,currency,total_assets,current_assets,total_liabilities,current_liabilities,total_debt,shareholder_equity,dividends_paid,net_income,operation_cash_flow,revenue,working_capital
2010-12-31,COGNA EDUCAÇÃO S.A.,BRL,1972113606.3408191,361934670.3494656,1972113606.3408191,240965533.80569234,164412753.69280654,1470234177.9752612,0.0,0.0,0.0,0.0,201462000.0
2011-03-31,COGNA EDUCAÇÃO S.A.,BRL,696038454.4505191,150015971.49702072,696038454.4505191,86780514.77363475,57905891.02524725,521401806.0077401,0.0,19814484.919221085,7112844.769334726,119792984.82707784,102941000.0
2011-06-30,COGNA EDUCAÇÃO S.A.,BRL,738587451.1311927,167695955.90591553,738587451.1311927,104787540.85752739,55554060.11664423,540024354.2908415,0.0,10091649.041850926,10621034.416458374,333043004.550407,98156000.0
2011-09-30,COGNA EDUCAÇÃO S.A.,BRL,796563444.1087613,293821212.7751403,796563444.1087613,73886491.15235218,8628614.587829089,659514458.3513163,0.0,35231441.51920587,12948316.78895123,387023629.69356924,407671000.0
2010-12-31,YDUQS PARTICIPACOES S.A.,BRL,1449266242.3441815,703304911.7329171,1449266242.3441815,251287378.4075898,34305272.00672511,1055418518.0737361,0.0,0.0,0.0,0.0,752790000.0
2011-03-31,YDUQS PARTICIPACOES S.A.,BRL,515639167.0250016,232547453.7748019,515639167.0250016,92785183.36507156,13882916.64107132,377324774.2490325,0.0,17649732.784569077,9458197.67799005,169435469.00915292,227519000.0
2011-06-30,YDUQS PARTICIPACOES S.A.,BRL,560203166.0578094,225365634.81381786,560203166.0578094,91744536.30712043,75718772.03101967,387620970.3262193,0.0,28565019.547522914,10902390.56591681,548352239.953855,208489000.0
2011-09-30,YDUQS PARTICIPACOES S.A.,BRL,485795209.3223996,191615235.21795425,485795209.3223996,77138001.7263703,63570349.58998705,342081355.2006905,0.0,53344302.97798878,1570457.4881312042,616260789.8144152,212195000.0
2011-12-31,COGNA EDUCAÇÃO S.A.,BRL,4740439443.229694,731367393.7390007,4740439443.229694,933841395.1255933,1222584928.8037972,2360403711.8020372,0.0,0.0,0.0,0.0,-379659000.0
2012-03-31,COGNA EDUCAÇÃO S.A.,BRL,1873776008.7839692,494431512.4897063,1873776008.7839692,194050507.8232226,327285204.50178427,1183898984.3535547,0.0,46542959.09964315,27100192.149327476,186987098.54515508,547144000.0
2012-06-30,COGNA EDUCAÇÃO S.A.,BRL,1884073340.9214628,293059335.8737071,1884073340.9214628,214098579.7001039,282468946.40471125,1084315336.2696095,0.0,74064433.1172366,53741772.65304102,479868857.326669,159556000.0
2012-09-30,COGNA EDUCAÇÃO S.A.,BRL,1945359605.9113302,326213793.10344833,1945359605.9113302,230494581.2807882,286223152.70935965,1115581280.7881775,0.0,117749753.6945813,116941871.92118227,702512315.270936,194310000.0
2011-12-31,YDUQS PARTICIPACOES S.A.,BRL,1709857607.5942616,793373686.7367074,1709857607.5942616,215457308.94352302,814023785.3981122,990243187.0300251,0.0,0.0,0.0,0.0,1083651000.0
2012-03-31,YDUQS PARTICIPACOES S.A.,BRL,624209717.2659895,299283557.5075487,624209717.2659895,87662366.18171836,291277518.52868515,362113642.6022509,0.0,21914356.29975295,18990392.53362613,181472412.84655502,385468000.0
