date,company_name,currency,total_assets,current_assets,total_liabilities,current_liabilities,total_debt,shareholder_equity,dividends_paid,net_income,operation_cash_flow,revenue,working_capital
2025-06-30,APEI,USD,537369000,234958000,265129000,82907000,195669000.0,272240000,1319000.0,4496000,14809000,162766000,152051000
2025-03-31,APEI,USD,578661000,272508000,268649000,83431000,198707000.0,310012000,1432000.0,8893000,36998000,164551000,189077000
2024-12-31,APEI,USD,570103000,260572000,266224000,79155000,200622000.0,303879000,1459000.0,12964000,1599000,164110000,181417000
2024-09-30,APEI,USD,569588000,236501000,279170000,89408000,203300000.0,290418000,1531000.0,2262000,14075000,153122000,147093000
2024-06-30,APEI,USD,560703000,223495000,272008000,78875000,205382000.0,288695000,1531000.0,371000,12454000,152895000,144620000
2024-03-31,APEI,USD,558980000,223757000,270507000,79625000,204129000.0,288473000,1535000.0,516000,20744000,154432000,144132000
2023-12-31,APEI,USD,557386000,217382000,265410000,73989000,204730000.0,291976000,1539000.0,13014000,-3143000,152804000,143393000
2023-09-30,APEI,USD,555271000,203125000,273881000,82276000,205812000.0,281390000,1523000.0,-3328000,20158000,150838000,120849000
2023-06-30,APEI,USD,558807000,188976000,273927000,79190000,208769000.0,284880000,1488000.0,-51232000,15741000,147214000,109786000
2023-03-31,APEI,USD,618522000,195857000,275609000,79326000,209800000.0,342913000,1455000.0,-5740000,12758000,149689000,116531000
2022-12-31,APEI,USD,615056000,186091000,265329000,70758000,208967000.0,349727000,1488000.0,-6535000,-23030000,152438000,115333000
2022-09-30,APEI,USD,660827000,228673000,345475000,95838000,272725000.0,315352000,1488000.0,-3762000,6854000,149535000,132835000
2022-06-30,APEI,USD,662068000,230736000,346066000,95055000,274463000.0,316002000,0.0,-110029000,20136000,149608000,135681000
2022-03-31,APEI,USD,771410000,224900000,348229000,93702000,270237000.0,423181000,0.0,5333000,25255000,154747000,131198000
2021-12-31,APEI,USD,725608000,202637000,309996000,83678000,243714000.0,415612000,0.0,9381000,15686000,154000000,118959000
2021-09-30,APEI,USD,723187000,189908000,318749000,90129000,249382000.0,404438000,0.0,-267000,-8319000,98248000,99779000
2021-06-30,APEI,USD,468916000,350467000,65791000,54330000,9376000.0,403125000,0.0,531000,-2328000,78014000,296137000
2021-03-31,APEI,USD,463199000,343556000,62555000,50490000,10004000.0,400644000,0.0,8107000,11226000,88541000,293066000
2020-12-31,APEI,USD,371018000,251810000,64093000,55058000,8847000.0,306925000,0.0,7071000,77000,85909000,196752000
2020-09-30,APEI,USD,370199000,247632000,72155000,59793000,9471000.0,298044000,0.0,2642000,12988000,79133000,187839000
2020-06-30,APEI,USD,361701000,234987000,68090000,53852000,10656000.0,293611000,0.0,6689000,20223000,82127000,181135000
2020-03-31,APEI,USD,345259000,215505000,59910000,45751000,11222000.0,285349000,0.0,2420000,11522000,74616000,169754000
2019-12-31,APEI,USD,354897000,222909000,58164000,45278000,11778000.0,296733000,0.0,5719000,6434000,74381000,177631000
2019-09-30,APEI,USD,361106000,230010000,60328000,45697000,10669000.0,300778000,0.0,-1638000,8216000,67888000,184313000
2019-06-30,APEI,USD,376084000,239951000,57628000,42191000,11145000.0,318456000,0.0,4921000,15825000,70560000,197760000
2019-03-31,APEI,USD,377747000,238444000,56294000,40530000,11613000.0,321453000,0.0,1011000,7895000,73441000,197914000
2025-06-30,ATGE,USD,2752352000,416190000,1318727000,507927000,774000000.0,1433625000,0.0,54462000,59692000,457106000,-91737000
2025-03-31,ATGE,USD,2789759000,450343000,1357046000,540569000,780528000.0,1432713000,0.0,60794000,207910000,466055000,-90226000
2024-12-31,ATGE,USD,2722955000,407085000,1284045000,384554000,864608000.0,1438910000,0.0,71176000,-19019000,447729000,22531000
2024-09-30,ATGE,USD,2817707000,516914000,1427755000,551309000,843341000.0,1389952000,0.0,46245000,89316000,417400000,-34395000
2024-06-30,ATGE,USD,2741417000,418085000,1372282000,487657000,847853000.0,1369135000,0.0,50600000,40570000,409907000,-69572000
2024-03-31,ATGE,USD,2715034000,387634000,1394071000,509110000,840298000.0,1320963000,0.0,37441000,153639000,412658000,-121476000
2023-12-31,ATGE,USD,2700925000,378099000,1331526000,398573000,896572000.0,1369399000,0.0,37713000,-7101000,393242000,-20474000
2023-09-30,ATGE,USD,2794161000,472928000,1415498000,495635000,891929000.0,1378663000,0.0,11959000,95073000,368845000,-22707000
2023-06-30,ATGE,USD,2810541000,478539000,1353205000,431203000,896191000.0,1457336000,153262000.0,23550000,53491000,364641000,47336000
2023-03-31,ATGE,USD,2867117000,533034000,1356732000,437920000,905025000.0,1510385000,0.0,48739000,108003000,369082000,95114000
2022-12-31,ATGE,USD,2843038000,423116000,1320316000,371462000,908722000.0,1522722000,284000.0,23617000,-49980000,363302000,51654000
2022-09-30,ATGE,USD,2996049000,569922000,1486010000,490549000,956601000.0,1510039000,3486000.0,5846000,91394000,354559000,79373000
2022-06-30,ATGE,USD,3029175000,556039000,1524108000,417527000,1066734000.0,1505067000,0.0,2464000,-41058000,361231000,138512000
2022-03-31,ATGE,USD,3518460000,1010996000,2027153000,521206000,1465650000.0,1491307000,0.0,5857000,50388000,365623000,489790000
2021-12-31,ATGE,USD,3659773000,610507000,2370093000,497475000,1818710000.0,1287890000,0.0,2486000,-39770000,371198000,113032000
2021-09-30,ATGE,USD,3768190000,709257000,2501219000,635695000,1828317000.0,1265181000,0.0,-40634000,40864000,348327000,73562000
2021-06-30,ATGE,USD,3053836000,1514953000,1750976000,408807000,1293895000.0,1301070000,0.0,12861000,48036000,280374000,1106146000
2021-03-31,ATGE,USD,3031000000,1497278000,1722283000,382205000,1289861000.0,1306224000,0.0,29707000,80770000,280654000,1115073000
2020-12-31,ATGE,USD,2244664000,680447000,928290000,340743000,534921000.0,1313779000,0.0,31588000,-16534000,283111000,339704000
2020-09-30,ATGE,USD,2329897000,768473000,996165000,409937000,530125000.0,1330971000,0.0,27446000,79927000,268241000,358536000
2020-06-30,ATGE,USD,2228687000,692766000,915414000,345983000,516791000.0,1310421000,0.0,71395000,2161000,259729000,346783000
2020-03-31,ATGE,USD,2444020000,544266000,1146499000,344686000,680731000.0,1294559000,0.0,153431000,119205000,271487000,199580000
2019-12-31,ATGE,USD,2390610000,389929000,1092616000,304188000,648136000.0,1294912000,0.0,1303000,-61142000,266172000,85741000
2019-09-30,ATGE,USD,2460324000,456113000,1129944000,412475000,576712000.0,1327193000,0.0,17408000,47468000,254613000,43638000
2019-06-30,ATGE,USD,2242696000,504700000,841623000,311631000,401094000.0,1391530000,0.0,52060000,76323000,330294000,193069000
2019-03-31,ATGE,USD,2148703000,540091000,735634000,309205000,291589000.0,1404587000,0.0,36213000,105514000,308609000,230886000
2018-12-31,ATGE,USD,2122223000,506549000,683925000,244310000,292084000.0,1429647000,0.0,52629000,-54993000,316594000,262239000
2018-09-30,ATGE,USD,2349865000,739386000,901016000,459086000,292579000.0,1440035000,0.0,-4878000,78014000,284190000,280300000
2018-06-30,ATGE,USD,2344961000,688000000,816565000,365781000,293073000.0,1520077000,0.0,102988000,55925000,319787000,322219000
2018-03-31,ATGE,USD,2287305000,539340000,717627000,378626000,120000000.0,1558287000,0.0,44513000,133651000,342193000,160714000
2017-12-31,ATGE,USD,2210722000,469809000,683358000,296819000,165000000.0,1519959000,0.0,-45974000,-40724000,337244000,172990000
2017-09-30,ATGE,USD,2383596000,541626000,718991000,450518000,135000000.0,1658039000,0.0,12916000,90337000,325278000,91108000
2017-06-30,ATGE,USD,2314035000,471207000,638711000,377327000,125000000.0,1669039000,2000.0,43354000,58511000,451469000,93880000
2017-03-31,ATGE,USD,2317809000,428592000,656885000,402165000,120000000.0,1654324000,2000.0,40022000,134534000,452089000,26427000
2016-12-31,ATGE,USD,2301433000,427433000,689800000,325556000,225000000.0,1604913000,11412000.0,14755000,-62849000,456350000,101877000
2016-09-30,ATGE,USD,2324356000,423658000,717635000,444840000,130000000.0,1601678000,0.0,25149000,97768000,449892000,-21182000
2015-09-30,ATGE,USD,2136742000,718114000,589721000,439400000,99100000.0,1543369000,0.0,5386000,116581000,441413000,278714000
2010-03-31,ATGE,USD,1880227000,768583000,748103000,648763000,44757000.0,1127606000,7123000.0,80900000,214044000,504385000,119820000
2025-06-30,LOPE,USD,1021007000,422481000,243031000,118990000,107833000.0,777976000,0.0,41546000,124008000,247499000,303491000
2025-03-31,LOPE,USD,1031448000,436436000,250744000,128204000,105314000.0,780704000,0.0,71618000,67631000,289310000,308232000
2024-12-31,LOPE,USD,1018425000,419976000,234572000,110966000,108518000.0,783853000,0.0,81879000,135817000,292573000,309010000
2024-09-30,LOPE,USD,992926000,393375000,228789000,106551000,106972000.0,764137000,0.0,41467000,-29385000,238291000,286824000
2024-06-30,LOPE,USD,992691000,389825000,233496000,107467000,109479000.0,759195000,0.0,34878000,98563000,227463000,282358000
2024-03-31,LOPE,USD,1035571000,444453000,276124000,160126000,97297000.0,759447000,0.0,68010000,84963000,274675000,284327000
2023-12-31,LOPE,USD,952021000,337522000,234007000,97033000,99281000.0,718014000,0.0,80709000,116385000,278284000,240489000
2023-09-30,LOPE,USD,863156000,274738000,212626000,99515000,96519000.0,650530000,0.0,35739000,-29851000,221913000,175223000
2023-06-30,LOPE,USD,846217000,279549000,200792000,100445000,81955000.0,645425000,0.0,28973000,94129000,210577000,179104000
2023-03-31,LOPE,USD,874021000,315886000,214771000,119650000,75461000.0,659250000,0.0,59564000,62999000,250125000,196236000
2022-12-31,LOPE,USD,832749000,273273000,195130000,99706000,77441000.0,637619000,0.0,71027000,110349000,258700000,173567000
2022-09-30,LOPE,USD,784544000,223233000,192988000,95587000,79315000.0,591556000,0.0,30008000,-35619000,208720000,127646000
2022-06-30,LOPE,USD,787303000,249852000,180665000,103716000,58053000.0,606638000,0.0,25562000,75829000,199753000,146136000
2022-03-31,LOPE,USD,918386000,380355000,211949000,132709000,59380000.0,706437000,0.0,58078000,70260000,244133000,247646000
2021-12-31,LOPE,USD,1222745000,681045000,177698000,97944000,61181000.0,1045047000,58056000.0,85113000,104224000,251376000,583101000
2021-09-30,LOPE,USD,1680461000,173397000,279685000,203842000,143589000.0,1400776000,0.0,47658000,-1434000,206767000,-30445000
2021-06-30,LOPE,USD,1846967000,147070000,304284000,169007000,188726000.0,1542683000,0.0,49461000,120502000,201487000,-21937000
2021-03-31,LOPE,USD,1885027000,374320000,296349000,152811000,162071000.0,1588678000,0.0,78112000,89827000,236934000,221509000
2020-12-31,LOPE,USD,1844579000,333742000,270250000,118718000,171778000.0,1574329000,883000.0,86755000,128740000,238289000,215024000
2020-09-30,LOPE,USD,1800562000,291757000,279579000,122663000,177503000.0,1520983000,0.0,52046000,-40969000,198384000,169094000
2020-06-30,LOPE,USD,1790284000,222619000,300897000,150586000,169538000.0,1489387000,0.0,47010000,135333000,185768000,72033000
2020-03-31,LOPE,USD,1731602000,248324000,283594000,133084000,168554000.0,1448008000,0.0,71385000,85719000,221655000,115240000
2019-12-31,LOPE,USD,1690289000,208344000,246856000,95230000,169521000.0,1443433000,3821000.0,76669000,111210000,213247000,113114000
2019-09-30,LOPE,USD,1760672000,237544000,378842000,124016000,284541000.0,1381830000,0.0,58151000,5799000,193289000,113528000
2019-06-30,LOPE,USD,1677522000,108717000,349715000,113266000,269351000.0,1327807000,0.0,51112000,112998000,174820000,-4549000
2019-03-31,LOPE,USD,1619473000,198208000,346600000,126002000,261682000.0,1272873000,0.0,73243000,76337000,197287000,72206000
2018-12-31,LOPE,USD,1324017000,309466000,110420000,80518000,59905000.0,1213597000,4632000.0,75531000,102549000,177548000,228948000
2018-09-30,LOPE,USD,1252691000,255199000,114333000,54936000,61548000.0,1138358000,0.0,33761000,-47126000,155454000,200263000
2018-06-30,LOPE,USD,1399968000,1281570000,299668000,223831000,63191000.0,1100300000,0.0,46038000,24654000,236818000,1057739000
2018-03-31,LOPE,USD,1391983000,435364000,340971000,261666000,64944000.0,1051012000,0.0,73681000,119008000,275681000,173698000
2017-12-31,LOPE,USD,1303573000,374862000,317622000,238135000,66616000.0,985951000,7372000.0,68256000,34971000,271418000,136727000
2017-09-30,LOPE,USD,1290930000,386846000,375209000,285063000,68276000.0,915721000,0.0,39304000,136267000,236209000,101783000
2017-06-30,LOPE,USD,1168563000,272771000,296349000,204868000,69935000.0,872214000,0.0,39847000,24004000,218301000,67903000
2017-03-31,LOPE,USD,1155260000,277922000,328737000,235145000,71594000.0,826523000,0.0,55912000,109656000,248206000,42777000
2016-12-31,LOPE,USD,1092493000,230068000,318807000,226794000,98252000.0,773686000,10016000.0,47979000,3835000,244663000,3274000
2016-09-30,LOPE,USD,1072266000,232123000,355477000,266068000,87369000.0,716789000,0.0,29244000,100427000,210444000,-33945000
2016-06-30,LOPE,USD,1004953000,200212000,324670000,233106000,102065000.0,680283000,0.0,27626000,17706000,191279000,-32894000
2016-03-31,LOPE,USD,960703000,226097000,316498000,222693000,78763000.0,644205000,0.0,43665000,96318000,226958000,3404000
2015-12-31,LOPE,USD,898430000,221345000,288179000,188534000,81362000.0,610251000,2871000.0,38114000,4890000,215954000,32811000
2015-09-30,LOPE,USD,912611000,263233000,332974000,238783000,83130000.0,579637000,0.0,33342000,87343000,193393000,24450000
2015-06-30,LOPE,USD,828941000,231077000,285614000,189457000,83873000.0,543327000,0.0,25776000,13478000,174726000,41620000
2015-03-31,LOPE,USD,815570000,278081000,302381000,202366000,85314000.0,513189000,0.0,34179000,68189000,194127000,75715000
2014-12-31,LOPE,USD,755713000,267045000,279481000,178711000,86990000.0,476232000,0.0,33093000,10254000,189973000,88334000
2014-09-30,LOPE,USD,755498000,275171000,316008000,218256000,88665000.0,439490000,0.0,29016000,67302000,175056000,56915000
2014-06-30,LOPE,USD,688544000,261134000,281251000,179870000,90340000.0,407293000,0.0,23069000,35769000,158594000,81264000
2014-03-31,LOPE,USD,655252000,277939000,274357000,169312000,92014000.0,380895000,0.0,26288000,53671000,167432000,108627000
2013-12-31,LOPE,USD,616100000,263703000,271256000,165623000,93686000.0,344844000,14816000.0,26157000,16663000,162443000,98080000
2013-09-30,LOPE,USD,594075000,252464000,279758000,174396000,95351000.0,314317000,0.0,22545000,57750000,152399000,78068000
2013-06-30,LOPE,USD,541666000,223597000,253116000,146486000,97039000.0,288550000,0.0,19064000,12323000,141463000,77111000
2013-03-31,LOPE,USD,523894000,227998000,265430000,157674000,98703000.0,258464000,0.0,20945000,31713000,142030000,70324000
2012-12-31,LOPE,USD,494923000,214174000,260864000,152727000,100375000.0,234059000,94871000.0,20909000,19462000,141298000,61447000
2012-09-30,LOPE,USD,423089000,154347000,205861000,173869000,21137000.0,217228000,0.0,18471000,45159000,133568000,-19522000
2012-06-30,LOPE,USD,375098000,129229000,176452000,145794000,21610000.0,198646000,0.0,15598000,34396000,119260000,-16565000
2012-03-31,LOPE,USD,349969000,130299000,168099000,136134000,21955000.0,181870000,0.0,14469000,45179000,117131000,-5835000
2011-12-31,LOPE,USD,317847000,115414000,154554000,121505000,22784000.0,163293000,14676000.0,15324000,31608000,113005000,-6091000
2011-09-30,LOPE,USD,303060000,106784000,156388000,128592000,23676000.0,146672000,0.0,12868000,29465000,108909000,-21808000
2011-06-30,LOPE,USD,289943000,109807000,147284000,121123000,23839000.0,142659000,0.0,13258000,12613000,103118000,-11316000
2011-03-31,LOPE,USD,286464000,128286000,151151000,127030000,25037000.0,135313000,0.0,11298000,23413000,101709000,1256000
2010-12-31,LOPE,USD,284255000,142284000,147595000,122848000,25731000.0,136660000,2175000.0,7571000,3570000,100031000,19436000
2010-09-30,LOPE,USD,281542000,153074000,154437000,128982000,28892000.0,127105000,0.0,12918000,50407000,98946000,24092000
2010-06-30,LOPE,USD,237813000,132933000,124506000,98973000,28343000.0,113307000,0.0,12396000,-18953000,97522000,33960000
2010-03-31,LOPE,USD,221969000,129391000,122833000,96953000,28726000.0,99136000,0.0,11480000,49080000,89326000,32438000
2025-06-30,STRA,USD,2091523000,319943000,424806000,254480000,120302000.0,1666717000,14418000.0,32331000,31208000,321471000,65463000
2025-03-31,STRA,USD,2074213000,328287000,430899000,259436000,119483000.0,1643314000,14797000.0,29744000,67656000,303590000,68851000
2024-12-31,STRA,USD,2049735000,304943000,387236000,216460000,125226000.0,1662499000,14709000.0,25336000,15905000,311456000,88483000
2024-09-30,STRA,USD,2187524000,383514000,470728000,285840000,138917000.0,1716796000,14755000.0,27748000,51491000,305958000,97674000
2024-06-30,STRA,USD,2177524000,398868000,499424000,253439000,197571000.0,1678100000,14773000.0,29898000,24305000,312266000,145429000
2024-03-31,STRA,USD,2155236000,390447000,512653000,261723000,200922000.0,1642583000,14734000.0,29702000,77630000,290250000,128724000
2023-12-31,STRA,USD,2125213000,329069000,472695000,209619000,213325000.0,1652518000,14641000.0,39129000,29946000,302702000,119450000
2023-09-30,STRA,USD,2114100000,350635000,519346000,265491000,205763000.0,1594754000,14671000.0,18459000,46436000,285936000,85144000
2023-06-30,STRA,USD,2142112000,350914000,543506000,242087000,251664000.0,1598606000,14713000.0,14231000,5495000,287680000,108827000
2023-03-31,STRA,USD,2165768000,357013000,555339000,241709000,256459000.0,1610429000,14755000.0,-2028000,35242000,256606000,115304000
2022-12-31,STRA,USD,2161747000,329061000,525957000,209944000,259281000.0,1635790000,14640000.0,18329000,1320000,269938000,119117000
2022-09-30,STRA,USD,2215251000,402748000,616769000,259917000,301564000.0,1598482000,14714000.0,6092000,44056000,263123000,142831000
2022-06-30,STRA,USD,2260261000,395824000,608340000,235633000,312287000.0,1651921000,14868000.0,15220000,24081000,273564000,160191000
2022-03-31,STRA,USD,2367883000,417848000,643570000,254836000,326506000.0,1724313000,15018000.0,7029000,56595000,258855000,163012000
2021-12-31,STRA,USD,2305880000,367786000,591890000,195755000,331456000.0,1713990000,14756000.0,21680000,19364000,272099000,172031000
2021-09-30,STRA,USD,2316122000,406481000,621066000,255648000,306361000.0,1695056000,14740000.0,3854000,35332000,270078000,150833000
2021-06-30,STRA,USD,2363313000,393635000,630133000,252189000,319414000.0,1733180000,14771000.0,19976000,47050000,299173000,141446000
2021-03-31,STRA,USD,2369442000,352928000,633517000,249757000,327665000.0,1735925000,14778000.0,9577000,78781000,290336000,103171000
2020-12-31,STRA,USD,2295807000,286122000,547488000,200052000,282783000.0,1748319000,14651000.0,5917000,-15881000,267494000,86070000
2020-09-30,STRA,USD,2047319000,806375000,342261000,195295000,101542000.0,1705058000,14643000.0,10960000,46845000,239026000,611080000
2020-06-30,STRA,USD,1791564000,553496000,307014000,148884000,102310000.0,1484550000,13335000.0,34152000,43246000,255831000,404612000
2020-03-31,STRA,USD,1783821000,532783000,324674000,160888000,103571000.0,1459147000,13327000.0,35239000,68695000,265302000,371895000
2019-12-31,STRA,USD,1789408000,524094000,326698000,156748000,105841000.0,1462710000,13328000.0,28537000,60739000,263772000,367346000
2019-09-30,STRA,USD,1781196000,505613000,336537000,157830000,109234000.0,1444659000,11103000.0,16692000,38344000,241747000,347783000
2019-06-30,STRA,USD,1784570000,490321000,346694000,153819000,113832000.0,1437876000,11103000.0,24409000,44405000,245110000,336502000
2019-03-31,STRA,USD,1775390000,456589000,351952000,153517000,116963000.0,1423438000,11091000.0,11500000,58658000,246508000,303072000
2018-12-31,STRA,USD,1661029000,420361000,235805000,125131000,2300000.0,1425224000,11040000.0,22455000,61514000,242103000,295230000
2018-09-30,STRA,USD,1645696000,391410000,237366000,116117000,2481000.0,1408330000,11024000.0,-52781000,-44673000,160945000,275293000
2018-06-30,STRA,USD,336765000,214172000,112925000,69204000,2618000.0,223840000,2889000.0,5188000,12977000,114668000,144968000
2018-03-31,STRA,USD,331810000,201422000,113518000,72278000,2857000.0,218292000,2889000.0,9467000,17049000,116469000,129144000
2017-12-31,STRA,USD,321278000,190348000,112081000,69066000,2832000.0,209197000,2855000.0,-6495000,11783000,118707000,121282000
2017-09-30,STRA,USD,328575000,186760000,113086000,72298000,2902000.0,215489000,2854000.0,6227000,11608000,108512000,114462000
2017-06-30,STRA,USD,318482000,180051000,109281000,61303000,2621000.0,209201000,2854000.0,10302000,7705000,112720000,118748000
2017-03-31,STRA,USD,313974000,177400000,115448000,66231000,2667000.0,198526000,2853000.0,10578000,25059000,114912000,111169000
2016-12-31,STRA,USD,298696000,160543000,110322000,59839000,2684000.0,188374000,11416000.0,11718000,14403000,119279000,100704000
