CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA;DT_INI_EXERC
02.800.026/0001-40;2017-03-31;2;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2016-12-31;1;Ativo Total;17601065.0000000000;S;
02.800.026/0001-40;2017-03-31;2;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2017-03-31;1;Ativo Total;17938083.0000000000;S;
02.800.026/0001-40;2017-03-31;2;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2016-12-31;1.01;Ativo Circulante;2645028.0000000000;S;
02.800.026/0001-40;2017-03-31;2;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2017-03-31;1.01;Ativo Circulante;2977960.0000000000;S;
02.800.026/0001-40;2017-03-31;2;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2016-12-31;1.01.01;Caixa e Equivalentes de Caixa;1343982.0000000000;S;
02.800.026/0001-40;2017-03-31;2;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2017-03-31;1.01.01;Caixa e Equivalentes de Caixa;1350293.0000000000;S;
02.800.026/0001-40;2017-03-31;2;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2016-12-31;1.01.02;Aplicações Financeiras;0.0000000000;S;
02.800.026/0001-40;2017-03-31;2;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2017-03-31;1.01.02;Aplicações Financeiras;0.0000000000;S;
02.800.026/0001-40;2017-03-31;2;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2016-12-31;1.01.02.01;Aplicações Financeiras Avaliadas a Valor Justo;0.0000000000;S;
02.800.026/0001-40;2017-03-31;2;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2017-03-31;1.01.02.01;Aplicações Financeiras Avaliadas a Valor Justo;0.0000000000;S;
02.800.026/0001-40;2017-03-31;2;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2016-12-31;1.01.02.01.01;Títulos para Negociação;0.0000000000;S;
02.800.026/0001-40;2017-03-31;2;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2017-03-31;1.01.02.01.01;Títulos para Negociação;0.0000000000;S;
02.800.026/0001-40;2017-03-31;2;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2016-12-31;1.01.02.01.02;Títulos Disponíveis para Venda;0.0000000000;S;
02.800.026/0001-40;2017-03-31;2;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2017-03-31;1.01.02.01.02;Títulos Disponíveis para Venda;0.0000000000;S;
02.800.026/0001-40;2017-03-31;2;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2016-12-31;1.01.02.02;Aplicações Financeiras Avaliadas ao Custo Amortizado;0.0000000000;S;
02.800.026/0001-40;2017-03-31;2;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2017-03-31;1.01.02.02;Aplicações Financeiras Avaliadas ao Custo Amortizado;0.0000000000;S;
02.800.026/0001-40;2017-03-31;2;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2016-12-31;1.01.02.02.01;Títulos Mantidos até o Vencimento;0.0000000000;S;
02.800.026/0001-40;2017-03-31;2;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2017-03-31;1.01.02.02.01;Títulos Mantidos até o Vencimento;0.0000000000;S;
02.800.026/0001-40;2017-03-31;2;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2016-12-31;1.01.03;Contas a Receber;1043905.0000000000;S;
02.800.026/0001-40;2017-03-31;2;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2017-03-31;1.01.03;Contas a Receber;1368163.0000000000;S;
02.800.026/0001-40;2017-03-31;2;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2016-12-31;1.01.03.01;Clientes;0.0000000000;S;
02.800.026/0001-40;2017-03-31;2;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2017-03-31;1.01.03.01;Clientes;0.0000000000;S;
02.800.026/0001-40;2017-03-31;2;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2016-12-31;1.01.03.02;Outras Contas a Receber;0.0000000000;S;
02.800.026/0001-40;2017-03-31;2;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2017-03-31;1.01.03.02;Outras Contas a Receber;0.0000000000;S;
02.800.026/0001-40;2017-03-31;2;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2016-12-31;1.01.04;Estoques;32120.0000000000;S;
02.800.026/0001-40;2017-03-31;2;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2017-03-31;1.01.04;Estoques;31105.0000000000;S;
02.800.026/0001-40;2017-03-31;2;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2016-12-31;1.01.05;Ativos Biológicos;0.0000000000;S;
02.800.026/0001-40;2017-03-31;2;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2017-03-31;1.01.05;Ativos Biológicos;0.0000000000;S;
02.800.026/0001-40;2017-03-31;2;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2016-12-31;1.01.06;Tributos a Recuperar;81423.0000000000;S;
02.800.026/0001-40;2017-03-31;2;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2017-03-31;1.01.06;Tributos a Recuperar;83243.0000000000;S;
02.800.026/0001-40;2017-03-31;2;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2016-12-31;1.01.06.01;Tributos Correntes a Recuperar;0.0000000000;S;
02.800.026/0001-40;2017-03-31;2;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2017-03-31;1.01.06.01;Tributos Correntes a Recuperar;0.0000000000;S;
02.800.026/0001-40;2017-03-31;2;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2016-12-31;1.01.07;Despesas Antecipadas;0.0000000000;S;
02.800.026/0001-40;2017-03-31;2;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2017-03-31;1.01.07;Despesas Antecipadas;0.0000000000;S;
02.800.026/0001-40;2017-03-31;2;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2016-12-31;1.01.08;Outros Ativos Circulantes;143598.0000000000;S;
02.800.026/0001-40;2017-03-31;2;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2017-03-31;1.01.08;Outros Ativos Circulantes;145156.0000000000;S;
02.800.026/0001-40;2017-03-31;2;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2016-12-31;1.01.08.01;Ativos Não-Correntes a Venda;0.0000000000;S;
02.800.026/0001-40;2017-03-31;2;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2017-03-31;1.01.08.01;Ativos Não-Correntes a Venda;0.0000000000;S;
02.800.026/0001-40;2017-03-31;2;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2016-12-31;1.01.08.02;Ativos de Operações Descontinuadas;0.0000000000;S;
02.800.026/0001-40;2017-03-31;2;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2017-03-31;1.01.08.02;Ativos de Operações Descontinuadas;0.0000000000;S;
02.800.026/0001-40;2017-03-31;2;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2016-12-31;1.01.08.03;Outros;143598.0000000000;S;
02.800.026/0001-40;2017-03-31;2;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2017-03-31;1.01.08.03;Outros;145156.0000000000;S;
02.800.026/0001-40;2017-03-31;2;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2016-12-31;1.01.08.03.01;Adiantamentos;67600.0000000000;N;
02.800.026/0001-40;2017-03-31;2;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2017-03-31;1.01.08.03.01;Adiantamentos;58670.0000000000;N;
02.800.026/0001-40;2017-03-31;2;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2016-12-31;1.01.08.03.02;Demais contas a receber;75985.0000000000;N;
02.800.026/0001-40;2017-03-31;2;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2017-03-31;1.01.08.03.02;Demais contas a receber;86450.0000000000;N;
02.800.026/0001-40;2017-03-31;2;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2016-12-31;1.01.08.03.03;Dividendos a receber;13.0000000000;N;
02.800.026/0001-40;2017-03-31;2;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2017-03-31;1.01.08.03.03;Dividendos a receber;36.0000000000;N;
02.800.026/0001-40;2017-03-31;2;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2016-12-31;1.02;Ativo Não Circulante;14956037.0000000000;S;
02.800.026/0001-40;2017-03-31;2;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2017-03-31;1.02;Ativo Não Circulante;14960123.0000000000;S;
02.800.026/0001-40;2017-03-31;2;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2016-12-31;1.02.01;Ativo Realizável a Longo Prazo;1920568.0000000000;S;
02.800.026/0001-40;2017-03-31;2;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2017-03-31;1.02.01;Ativo Realizável a Longo Prazo;1935579.0000000000;S;
02.800.026/0001-40;2017-03-31;2;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2016-12-31;1.02.01.01;Aplicações Financeiras Avaliadas a Valor Justo;0.0000000000;S;
02.800.026/0001-40;2017-03-31;2;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2017-03-31;1.02.01.01;Aplicações Financeiras Avaliadas a Valor Justo;0.0000000000;S;
02.800.026/0001-40;2017-03-31;2;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2016-12-31;1.02.01.01.01;Títulos para Negociação;0.0000000000;S;
02.800.026/0001-40;2017-03-31;2;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2017-03-31;1.02.01.01.01;Títulos para Negociação;0.0000000000;S;
