fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda
2025-06-30,USD,537369000,234958000,176579000,176579000,None,40071000,302411000,None,None,28221000,28221000,59593000,None,None,None,18308000,None,265129000,82907000,10067000,None,None,13447000,182222000,101607000,94062000,None,None,195669000,34426000,None,272240000,None,-34668000,180000,18034000,14809000,None,None,None,None,4088000,3698000,None,None,None,18752000,-44484000,None,None,None,None,1319000,1319000,None,None,None,None,-43126000,None,None,None,4496000,80255000,162766000,82511000,82511000,7060000,38147000,None,73195000,None,-1108000,None,1108000,None,None,None,4088000,5917000,1421000,None,4496000,None,7025000,11113000
2025-03-31,USD,578661000,272508000,161597000,161597000,None,41872000,306153000,None,None,28221000,28221000,59593000,None,None,None,69039000,None,268649000,83431000,7849000,None,None,13489000,185218000,104960000,93747000,None,None,198707000,36829000,None,310012000,None,-34344000,180000,18417000,36998000,None,None,None,None,3992000,3902000,None,None,None,-3402000,-5035000,None,None,None,None,1432000,1432000,None,None,None,None,-3693000,None,None,None,8893000,89607000,164551000,74944000,74944000,12246000,36407000,None,77361000,None,-887000,None,887000,None,None,None,3992000,11359000,2466000,None,8893000,None,12246000,16238000
2024-12-31,USD,570103000,260572000,131926000,131926000,None,63414000,309531000,None,None,28221000,28221000,59593000,None,None,None,65232000,None,266224000,79155000,7847000,None,None,13553000,187069000,107198000,93424000,None,None,200622000,34281000,None,303879000,None,-41805000,177000,18366000,1599000,None,None,None,None,3863000,3354000,None,None,None,-3354000,-1553000,None,None,None,None,1459000,1459000,None,None,None,None,-13000,None,None,None,12964000,92449000,164110000,71661000,71661000,21535000,36228000,None,70914000,None,-585000,None,585000,None,None,None,3863000,20950000,7986000,None,12964000,None,21535000,25398000
2024-09-30,USD,569588000,236501000,162249000,162249000,5360000,42648000,333087000,None,None,28234000,28234000,59593000,None,None,None,26244000,None,279170000,89408000,10460000,None,None,13538000,189762000,110208000,93092000,None,None,203300000,24553000,None,290418000,None,-53310000,177000,18247000,14075000,None,None,None,None,5080000,6312000,None,None,None,-6312000,-1705000,None,None,None,None,1531000,1531000,None,None,None,None,-92000,None,None,None,2262000,72641000,153122000,80481000,80481000,4129000,35030000,None,68489000,None,-631000,None,631000,None,None,None,5080000,3498000,1236000,None,2262000,None,4129000,9209000
2024-06-30,USD,560703000,223495000,156191000,156191000,None,42909000,337208000,None,None,29025000,29025000,59593000,None,None,None,24395000,None,272008000,78875000,6999000,None,None,24498000,193133000,112630000,92752000,None,None,205382000,21755000,None,288695000,None,-54041000,177000,17627000,12454000,None,None,None,None,5232000,5198000,None,None,None,-5198000,-4262000,None,None,None,None,1531000,1531000,None,None,None,None,-25000,None,None,None,371000,71447000,152895000,81448000,81448000,2220000,34426000,None,68264000,None,-785000,None,785000,None,None,None,5232000,1435000,-16000,None,371000,None,3183000,8415000
2024-03-31,USD,558980000,223757000,153197000,153197000,None,44889000,335223000,None,None,30282000,30282000,59593000,None,None,None,25671000,None,270507000,79625000,7338000,None,None,13247000,190882000,109089000,95040000,None,None,204129000,32106000,None,288473000,None,-52881000,176000,17510000,20744000,None,None,None,None,5128000,6218000,None,None,None,-6218000,-5671000,None,None,None,None,1535000,1535000,None,None,None,None,-4108000,None,None,None,516000,76879000,154432000,77553000,77553000,8146000,36277000,None,68733000,None,-126000,None,126000,None,None,None,5128000,5056000,1213000,None,516000,None,8146000,13274000
2023-12-31,USD,557386000,217382000,116660000,116660000,27682000,51447000,340004000,None,None,31539000,31539000,59593000,None,None,None,49275000,None,265410000,73989000,8663000,None,None,26618000,191421000,110048000,94682000,None,None,204730000,14878000,None,291976000,None,-49096000,176000,17896000,-3143000,None,None,None,None,5081000,4390000,None,-2552000,None,-4390000,-3279000,None,None,None,None,1539000,1539000,None,None,None,None,-1711000,None,None,None,13014000,82057000,152804000,70747000,70747000,18894000,31332000,None,63163000,None,-791000,None,791000,None,None,None,5081000,15141000,2124000,None,13014000,None,18894000,23975000
2023-09-30,USD,555271000,203125000,127859000,127859000,23122000,33219000,352146000,None,None,32796000,32796000,59593000,None,None,None,42047000,None,273881000,82276000,7976000,None,None,28414000,191605000,111496000,94316000,None,None,205812000,16643000,None,281390000,None,-58864000,178000,17778000,20158000,None,None,None,None,7026000,2952000,None,3638000,None,-2829000,-1578000,None,None,None,None,1523000,1523000,None,None,None,None,-27000,None,None,None,-3328000,77610000,150838000,73228000,73228000,-408000,30885000,None,71226000,None,-792000,None,792000,None,None,None,7026000,5608000,3712000,None,-3328000,None,6384000,13410000
2023-06-30,USD,558807000,188976000,112803000,112803000,22902000,34157000,369831000,99592000,None,35845000,35845000,59593000,None,None,None,15416000,None,273927000,79190000,5657000,None,None,28064000,194737000,114828000,93941000,None,None,208769000,16916000,100796000,284880000,None,-54011000,178000,17932000,15741000,None,None,None,None,7953000,3347000,6614000,1015000,None,-3347000,-9152000,None,None,None,None,1488000,1488000,None,None,None,None,-7635000,None,3242000,None,-51232000,72216000,147214000,74998000,74998000,-65268000,32533000,None,73452000,None,-1097000,None,1097000,None,-4000,None,7953000,-66365000,-15137000,None,-51228000,None,-65268000,-57315000
2023-03-31,USD,618522000,195857000,108961000,108961000,22011000,42262000,422665000,100285000,None,50790000,50790000,112593000,None,None,None,44634000,None,275609000,79326000,6797000,None,None,13517000,196283000,116243000,93557000,None,None,209800000,30146000,102726000,342913000,None,6323000,190000,19072000,12758000,None,None,None,None,7756000,3206000,5280000,None,None,-3206000,-2849000,None,None,None,None,1455000,1455000,None,None,None,None,-1366000,None,6703000,None,-5740000,75800000,149689000,73889000,73889000,-5370000,33489000,None,81170000,None,-1779000,None,1779000,None,-5000,None,7756000,-7149000,-1414000,None,-5735000,None,-5370000,2386000
