fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda
2025-06-30,USD,2752352000,416190000,199601000,199601000,None,146189000,2336162000,None,None,765474000,765474000,961262000,None,None,None,70400000,None,1318727000,507927000,105017000,None,None,35159000,810800000,221331000,552669000,None,None,774000000,153660000,40103000,1433625000,None,2777574000,839000,37584000,59692000,None,None,None,None,20453000,18990000,None,None,None,-11656000,-68053000,None,None,None,None,None,None,None,None,None,None,-66688999,None,None,None,54462000,271754000,457106000,185352000,185352000,76925000,180863000,None,194441000,None,-9148000,1705000,10853000,None,None,None,20453000,68583000,14121000,None,54462000,None,79436000,99889000
2025-03-31,USD,2789759000,450343000,219017000,219017000,None,162972000,2339416000,None,None,768279000,768279000,961262000,None,None,11900000,68354000,None,1357046000,540569000,98709000,None,None,69764000,816477000,228342000,552186000,None,None,780528000,124285000,37242000,1432713000,None,2723362000,839000,38233000,207910000,None,None,None,None,24317000,10243000,None,None,None,-10049000,-172099000,None,None,None,None,None,None,None,None,None,None,-72370000,None,None,None,60794000,266186000,466055000,199869000,199869000,90509000,175167000,None,175677000,None,-11002000,2072000,13074000,None,None,None,24317000,79333000,18539000,None,60794000,None,90701000,115018000
2024-12-31,USD,2722955000,407085000,193958000,193958000,None,146973000,2315870000,None,None,771084000,771084000,961262000,None,None,12800000,66154000,None,1284045000,384554000,66920000,None,None,65266000,899491000,214684000,649924000,None,None,864608000,80845000,35149000,1438910000,None,2662530000,839000,38401000,-19019000,None,None,None,None,20139000,10680000,None,None,None,-10681000,-41753000,None,None,None,None,None,None,None,None,None,None,-40876000,None,None,None,71176000,261093000,447729000,186636000,186636000,103870000,156901000,None,157223000,None,-11503000,2406000,11694000,None,None,None,20139000,92196000,21020000,None,71176000,None,83731000,103870000
2024-09-30,USD,2817707000,516914000,264798000,264798000,None,171509000,2300793000,None,None,773889000,773889000,961262000,None,None,12900000,80607000,None,1427755000,551309000,91421000,None,None,64532000,876446000,194023000,649318000,None,None,843341000,104785000,35023000,1389952000,None,2586674000,838000,39109000,89316000,None,None,None,None,19556000,10414000,None,None,None,-9535000,-34111000,None,None,None,None,None,None,None,None,None,None,-33190000,None,None,None,46245000,231405000,417400000,185995000,185995000,70238000,159073000,None,161167000,None,-12449000,2033000,14482000,None,None,None,19556000,58402000,12157000,None,46245000,None,72884000,92440000
2024-06-30,USD,2741417000,418085000,221202000,221202000,1,126833000,2323332000,None,None,776694000,776694000,961262000,None,None,13200000,71946000,None,1372282000,487657000,102626000,None,None,62858000,884625000,199141000,648712000,None,None,847853000,136901000,38675000,1369135000,None,2540509000,832000,38595000,40570000,None,None,None,None,22854000,3121000,None,3527000,None,4036000,-10728000,None,None,None,None,None,None,None,None,None,None,-11503000,None,None,None,50600000,237453000,409907000,172454000,172454000,72770000,63217000,None,164683000,None,-22116000,None,11574000,None,None,None,22854000,55668000,5068000,None,50600000,None,72770000,95624000
2024-03-31,USD,2715034000,387634000,187324000,187324000,None,140909000,2327400000,None,None,784042000,784042000,961262000,None,None,14000000,66963000,None,1394071000,509110000,92198000,None,None,64950000,884961000,192192000,648106000,None,None,840298000,149396000,48201000,1320963000,None,2491090000,831000,39636000,153639000,None,None,None,None,28389000,21686000,None,None,None,-21686000,-139688000,None,None,None,None,None,None,None,None,None,None,-89914000,None,None,None,37441000,241768000,412658000,170890000,170890000,61725000,156689000,None,161120000,None,-14395000,2165000,16559999,None,None,None,27043000,48036000,10595000,None,37441000,None,80648000,107691000
2023-12-31,USD,2700925000,378099000,182894000,182894000,3183000,133666000,2322826000,None,None,792328000,792328000,961262000,None,None,13300000,58356000,None,1331526000,398573000,88093000,None,None,63192000,932953000,200199000,696373000,None,None,896572000,112007000,40734000,1369399000,None,2454269000,831000,40787000,-7101000,None,None,None,None,28844000,15282000,None,7170000,None,-15254000,-55994000,None,None,None,None,None,None,None,None,None,None,-70072000,None,None,None,37713000,221173000,393242000,172069000,172069000,58612000,126998000,None,162561000,None,-14152000,2541000,16693000,None,None,None,28844000,45482000,7769000,None,37713000,None,62175000,91019000
2023-09-30,USD,2794161000,472928000,262438000,262438000,1988000,147752000,2321233000,435821000,None,801661000,801661000,961262000,None,None,12100000,60750000,None,1415498000,495635000,76866000,None,None,71362000,919863000,196204000,695725000,None,None,891929000,96852000,37221000,1378663000,None,2414378000,826000,42184000,95073000,None,None,None,None,29220000,15046000,None,-10697000,None,-10334000,-95388000,None,None,None,None,None,None,None,None,None,None,-90477000,None,None,None,11959000,200227000,368845000,168618000,168618000,28194000,166095000,None,172033000,None,-12996000,2661000,15657000,None,None,None,29220000,14751000,2792000,None,11959000,None,30408000,59628000
2023-06-30,USD,2810541000,478539000,273689000,273689000,1386000,102749000,2332002000,258522000,None,812338000,812338000,961262000,None,None,12500000,102101000,None,1353205000,431203000,81812000,None,None,75346000,922002000,201114000,695077000,None,None,896191000,188307000,200857000,1457336000,None,2403750000,822000,44129000,53491000,None,None,None,None,32802000,17952000,5731000,15948000,None,-17952000,-77641000,None,None,None,None,153262000,153262000,None,None,None,None,-78423000,None,-42102000,None,23550000,200923000,364641000,163718000,163718000,39557000,76104000,None,153296000,None,-15294000,None,15294000,None,21752000,None,32802000,27927000,4377000,None,23726000,None,43221000,76023000
2023-03-31,USD,2867117000,533034000,315373000,315373000,1804000,113284000,2334083000,252797000,None,824641000,824641000,961262000,None,None,12000000,104377000,None,1356732000,437920000,73307000,None,None,92822000,918812000,210596000,694429000,None,None,905025000,136583000,197146000,1510385000,None,2381506000,822000,45801000,108003000,None,None,None,None,33705000,9309000,-18300000,None,None,43618000,-44454000,None,None,None,None,None,None,None,None,None,None,-44710000,None,107167000,None,48739000,203262000,369082000,165820000,165820000,34310000,144526000,None,144526000,None,-14457000,3152000,14457000,None,3980000,None,33705000,48952000,389000,None,48563000,None,63409000,97114000
