fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda
2025-06-30,USD,1021007000,422481000,192278000,192278000,None,34364000,598526000,None,None,155752000,155752000,160766000,None,None,181621000,14218000,None,243031000,118990000,24353000,None,None,13577000,124041000,107833000,None,None,None,107833000,66798000,1550000,777976000,None,2584110000,542000,28134000,124008000,None,None,None,None,9914000,8613000,None,None,None,-28860000,-47379000,None,None,None,None,None,None,None,None,None,None,-47379000,None,None,None,41546000,121342000,247499000,126157000,126157000,51789000,11411000,None,69553000,None,3226000,3226000,0,None,None,None,9914000,55015000,13469000,None,41546000,None,55015000,64929000
2025-03-31,USD,1031448000,436436000,144509000,144509000,None,115696000,595012000,None,None,157857000,157857000,160766000,None,None,160144000,16087000,None,250744000,128204000,24077000,None,None,13146000,122540000,105314000,None,None,None,105314000,57824000,1398000,780704000,None,2542564000,542000,28469000,67631000,None,None,None,None,9556000,8968000,None,None,None,-169888000,-77857000,None,None,None,None,None,None,None,None,None,None,-77857000,None,None,None,71618000,160824000,289310000,128486000,128486000,88023000,10366000,None,72801000,None,3381000,3381000,0,None,None,None,9556000,91404000,19786000,None,71618000,None,91404000,100960000
2024-12-31,USD,1018425000,419976000,324623000,324623000,None,83438000,598449000,None,None,159962000,159962000,160766000,None,None,0,11915000,None,234572000,110966000,26721000,None,None,12883000,123606000,108518000,None,None,None,108518000,62803000,1444000,783853000,None,2470946000,541000,28872000,135817000,None,None,None,None,9532000,9932000,None,None,None,-9932000,-64846000,None,None,None,None,None,None,None,None,None,None,-64846000,None,None,None,81879000,164242000,292573000,128331000,128331000,100027000,10568000,None,64215000,None,3925000,3925000,0,None,None,None,9532000,103952000,22073000,None,81879000,None,103952000,113484000
2024-09-30,USD,992926000,393375000,263584000,263584000,None,116388000,599551000,None,None,162066000,162066000,160766000,None,None,0,13403000,None,228789000,106551000,28081000,None,None,12358000,122238000,106972000,None,None,None,106972000,59563000,1492000,764137000,None,2389067000,541000,29164000,-29385000,None,None,None,None,9231000,9398000,None,None,None,91286000,-39634000,None,None,None,None,None,None,None,None,None,None,-39634000,None,None,None,41467000,119170000,238291000,119121000,119121000,48175000,14364000,None,70995000,None,4154000,4154000,0,None,None,None,9231000,52329000,10862000,None,41467000,None,52329000,61560000
2024-06-30,USD,992691000,389825000,241317000,241317000,1,34958000,602866000,None,None,164171000,164171000,160766000,None,None,100498000,13052000,None,233496000,107467000,22466000,None,None,23960000,126029000,109479000,None,None,None,109479000,53731000,1538000,759195000,None,2347600000,541000,29415000,98563000,None,None,None,None,9033000,9052000,None,None,None,-14729000,-38725000,None,None,None,None,None,None,None,None,None,None,-38725000,None,None,None,34878000,108355000,227463000,119108000,119108000,42719000,10636000,None,65636000,None,4110000,4112000,2000,None,None,None,9033000,46829000,11951000,None,34878000,None,46831000,55864000
2024-03-31,USD,1035571000,444453000,196208000,196208000,None,137248000,591118000,None,None,166276000,166276000,160766000,None,None,94485000,16512000,None,276124000,160126000,29827000,None,None,11336000,115998000,97297000,None,None,None,97297000,82393000,1583000,759447000,None,2312722000,541000,29639000,84963000,None,None,None,None,8758000,9051000,None,None,None,-5260000,-29970000,None,None,None,None,None,None,None,None,None,None,-29970000,None,None,None,68010000,152666000,274675000,122009000,122009000,84478000,10730000,None,68188000,None,3727000,3729000,2000,None,None,None,8758000,88205000,20195000,None,68010000,None,88207000,96965000
2023-12-31,USD,952021000,337522000,146475000,146475000,1,80127000,614499000,None,None,168381000,168381000,160766000,None,None,98031000,12889000,None,234007000,97033000,17676000,None,None,22048000,136974000,99281000,None,None,None,99281000,47059000,410000,718014000,None,2244712000,540000,29761000,116385000,None,None,None,None,8664000,10439000,None,272000,None,-9942000,-16839000,None,None,None,None,None,None,None,None,None,None,-16839000,None,None,None,80709000,156303000,278284000,121981000,121981000,97799000,10397000,None,58504000,None,2964000,2970000,6000,None,None,None,8664000,100763000,20054000,None,80709000,None,100769000,109433000
2023-09-30,USD,863156000,274738000,56871000,56871000,1,108245000,588418000,None,None,170485000,170485000,160766000,None,None,97553000,12069000,None,212626000,99515000,23696000,None,None,21036000,113111000,96519000,None,None,None,96519000,48455000,416000,650530000,None,2164003000,540000,29912000,-29851000,None,None,None,None,8160000,16908000,None,-272000,None,-22473000,-33730000,None,None,None,None,None,None,None,None,None,None,-33730000,None,None,None,35739000,108915000,221913000,112998000,112998000,41538000,12175000,None,67377000,None,2738000,2739000,1000,None,None,None,8160000,44276000,8537000,None,35739000,None,44277000,52437000
2023-06-30,USD,846217000,279549000,142925000,142925000,1,33719000,566668000,154709000,None,172590000,172590000,160766000,None,None,90444000,12461000,None,200792000,100445000,22842000,None,None,18678000,100347000,81955000,None,None,None,81955000,49740000,73039000,645425000,None,2128264000,540000,30287000,94129000,None,None,None,None,7507000,9256000,77889000,-77889000,None,-10923000,-45321000,None,None,None,None,None,None,None,None,None,None,-45321000,None,37885000,None,28973000,99228000,210577000,111349000,111349000,35442000,10875000,None,63786000,None,2583000,2590000,7000,None,2590000,None,7507000,38025000,9052000,None,28973000,None,38032000,45539000
2023-03-31,USD,874021000,315886000,105040000,105040000,None,105535000,558135000,150391000,None,174695000,174695000,160766000,None,None,89483000,15828000,None,214771000,119650000,21801000,None,None,17636000,95121000,75461000,None,None,None,75461000,43967000,67072000,659250000,None,2099291000,540000,30638000,62999000,None,None,None,None,7642000,8831000,-25158000,None,None,-37134000,-41234000,None,None,None,None,None,None,None,None,None,None,-41234000,None,-15369000,None,59564000,139264000,250125000,110861000,110861000,74477000,9788000,None,64787000,None,2134000,2153000,19000,None,2153000,None,7642000,76611000,17047000,None,59564000,None,76630000,84272000
