fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda
2025-06-30,USD,2091523000,319943000,133600000,133600000,None,98640000,1771580000,None,None,248172000,248172000,1231105000,None,29169000,31350000,56353000,None,424806000,254480000,59115000,None,None,40224000,170326000,120302000,None,None,None,120302000,155141000,2082000,1666717000,None,236076000,239000,23790000,31208000,None,None,None,None,-11123000,10833000,None,None,None,-2926000,-42334000,None,None,None,None,14418000,14418000,None,None,None,None,-28007000,None,None,None,32331000,155318000,321471000,166153000,166153000,45760000,103596000,None,109558000,None,None,None,None,None,None,None,12003000,45445000,13114000,None,32331000,None,45445000,57448000
2025-03-31,USD,2074213000,328287000,144215000,144215000,None,90314000,1745926000,None,None,245452000,245452000,1209710000,None,31284000,38424000,55334000,None,430899000,259436000,57975000,None,None,40152000,171463000,119483000,None,None,None,119483000,151119000,2027000,1643314000,None,225440000,243000,24065000,67656000,None,None,None,None,11195000,10318000,None,None,None,-1701000,-56095000,None,None,None,None,14797000,14797000,None,None,None,None,-32025000,None,None,None,29744000,145304000,303590000,158286000,158286000,39794000,103596000,None,105510000,None,None,None,None,None,None,None,11195000,42005000,12261000,None,29744000,None,41708000,52903000
2024-12-31,USD,2049735000,304943000,137074000,137074000,None,76127000,1744792000,None,None,245098000,245098000,1206883000,None,31195000,46949000,44793000,None,387236000,216460000,55733000,None,None,44444000,170776000,125226000,None,None,None,125226000,113357000,1805000,1662499000,None,218405000,245000,24149000,15905000,None,None,None,None,11345000,11234000,None,None,None,-49186000,-22721000,None,None,None,None,14709000,14709000,None,None,None,None,-6510000,None,None,None,25336000,144572000,311456000,166884000,166884000,36022000,104145000,None,108550000,None,None,None,400000,None,None,None,11345000,37891000,12555000,None,25336000,None,40427000,51772000
2024-09-30,USD,2187524000,383514000,195889000,195889000,None,105795000,1804010000,None,None,251952000,251952000,1260599000,None,16381000,26182000,55648000,None,470728000,285840000,56642000,None,None,45654000,184888000,138917000,None,None,None,138917000,27742000,3018000,1716796000,None,210194000,246000,24137000,51491000,None,None,None,None,-21853000,9418000,None,None,None,-8961000,-81030000,None,None,None,None,14755000,14755000,None,None,None,None,-5000000,None,None,None,27748000,143290000,305958000,162668000,162668000,36326000,106206000,None,106964000,None,None,None,700000,None,None,None,10806000,38590000,10842000,None,27748000,None,37084000,47890000
2024-06-30,USD,2177524000,398868000,243592000,243592000,1,89639000,1778656000,None,None,249469000,249469000,1240962000,None,16749000,26128000,52990000,None,499424000,253439000,54624000,None,None,47946000,245985000,136242000,61329000,None,None,197571000,15067000,2929000,1678100000,None,198908000,246000,24179000,24305000,None,None,None,None,11158000,10740000,None,None,None,-5211000,-14601000,None,None,None,None,14773000,14773000,None,None,None,None,0,None,None,None,29898000,149031000,312266000,163235000,163235000,41924000,105112000,None,105112000,None,None,None,1300000,None,None,None,11158000,41801000,11903000,None,29898000,None,43919000,55077000
2024-03-31,USD,2155236000,390447000,237328000,237328000,1,83082000,1764789000,None,None,248855000,248855000,1229882000,None,18695000,31448000,53801000,None,512653000,261723000,56835000,None,None,46632000,250930000,139666000,61256000,None,None,200922000,29753000,2798000,1642583000,None,183800000,246000,24060000,77630000,None,None,None,None,11069000,9188000,None,None,None,-1002000,-18420000,None,None,None,None,14734000,14734000,None,None,None,None,0,None,None,None,29702000,132541000,290250000,157709000,157709000,41356000,96695000,None,96695000,None,None,None,1400000,None,None,None,11069000,43150000,13448000,None,29702000,None,35846000,46915000
2023-12-31,USD,2125213000,329069000,181425000,181425000,None,76102000,1796144000,None,None,251623000,251623000,1251888000,None,19357000,39728000,44758000,None,472695000,209619000,49247000,None,None,48380000,263076000,151925000,61400000,None,None,213325000,17451000,3190000,1652518000,None,168871000,244000,23968000,29946000,None,None,None,None,12432000,9625000,None,9288000,None,-18083000,-14544000,None,None,None,None,14641000,14641000,None,None,None,None,97000,None,None,None,39129000,147858000,302702000,154844000,154844000,54224000,92377000,None,92377000,None,None,None,1400000,None,None,None,12432000,55218000,16089000,None,39129000,None,55481000,67913000
2023-09-30,USD,2114100000,350635000,167707000,167707000,1,105279000,1763465000,None,None,249514000,249514000,1228431000,None,1914000,28960000,48689000,None,519346000,265491000,54856000,None,None,46242000,253855000,144516000,61247000,None,None,205763000,24145000,42959000,1594754000,None,144365000,244000,23870000,46436000,None,None,None,None,14685000,9524000,None,-13463000,None,-6708000,-54632000,None,None,None,None,14671000,14671000,None,None,None,None,-4925000,None,None,None,18459000,130201000,285936000,155735000,155735000,25629000,97598000,None,104572000,None,None,None,2000000,None,None,None,14685000,26471000,8012000,None,18459000,None,29221000,43906000
2023-06-30,USD,2142112000,350914000,181024000,181024000,1,92092000,1791198000,121066000,None,253353000,253353000,1237982000,None,8609000,25468000,52330000,None,543506000,242087000,53364000,None,None,46760000,301419000,150355000,101309000,None,None,251664000,13313000,41794000,1598606000,None,140368000,245000,23964000,5495000,None,None,None,None,15545000,9524000,-10734000,4175000,None,-469000,-24712000,None,None,None,None,14713000,14713000,None,None,None,None,-9999000,None,-19686000,None,14231000,126201000,287680000,161479000,161479000,16817000,99003000,None,102453000,None,None,None,2000000,None,3171000,None,15545000,19988000,5757000,None,14231000,None,23748000,39293000
2023-03-31,USD,2165768000,357013000,202824000,202824000,3793000,71860000,1808755000,124298000,None,256715000,256715000,1243330000,None,12699000,24490000,57839000,None,555339000,241709000,54497000,None,None,46414000,313630000,155115000,101344000,None,None,256459000,15443000,175948000,1610429000,None,142893000,246000,23430000,35242000,None,None,None,None,14651000,8270000,-8892000,None,None,-23285000,-19719000,None,None,None,None,14755000,14755000,None,None,None,None,0,None,-7762000,None,-2028000,103668000,256606000,152938000,152938000,10691000,95465000,None,98997000,None,None,None,11642000,None,398000,None,14651000,-951000,1077000,None,-2028000,None,4671000,19322000
2022-12-31,USD,2161747000,329061000,213667000,213667000,1,62953000,1832686000,258093000,None,260541000,260541000,1251277000,None,30398000,9156000,43285000,None,525957000,209944000,45826000,None,None,47758000,316013000,157885000,101396000,None,None,259281000,20883000,3183000,1635790000,None,159690000,244000,23911000,1320000,None,None,None,None,13931000,10662000,None,None,None,-1036000,-57871000,None,None,None,None,14640000,14640000,None,None,None,None,-3200000,None,None,None,18329000,117771000,269938000,152167000,152167000,19987000,90558000,None,93954000,None,None,None,7602000,None,None,None,13931000,27589000,9260000,None,18329000,None,29689000,43620000
