date;value
04/01/2010;1.7232
05/01/2010;1.7219
06/01/2010;1.7329
07/01/2010;1.7405
08/01/2010;1.7382
11/01/2010;1.7315
12/01/2010;1.7431
13/01/2010;1.7434
14/01/2010;1.764
15/01/2010;1.7703
18/01/2010;1.7713
19/01/2010;1.7739
20/01/2010;1.7846
21/01/2010;1.7895
22/01/2010;1.8179
25/01/2010;1.8186
26/01/2010;1.8359
27/01/2010;1.8505
28/01/2010;1.8552
29/01/2010;1.874
01/02/2010;1.8765
02/02/2010;1.8355
03/02/2010;1.8329
04/02/2010;1.8707
05/02/2010;1.8745
08/02/2010;1.8722
09/02/2010;1.8542
10/02/2010;1.8475
11/02/2010;1.8508
12/02/2010;1.8662
17/02/2010;1.8305
18/02/2010;1.8258
19/02/2010;1.8108
22/02/2010;1.8038
23/02/2010;1.8178
24/02/2010;1.8195
25/02/2010;1.8356
26/02/2010;1.8102
01/03/2010;1.7992
02/03/2010;1.7843
03/03/2010;1.7838
04/03/2010;1.788
05/03/2010;1.7816
08/03/2010;1.7818
09/03/2010;1.7891
10/03/2010;1.7708
11/03/2010;1.7685
12/03/2010;1.7629
15/03/2010;1.7636
16/03/2010;1.7658
17/03/2010;1.7632
18/03/2010;1.784
19/03/2010;1.7946
22/03/2010;1.8022
23/03/2010;1.7805
24/03/2010;1.7896
25/03/2010;1.8
26/03/2010;1.8223
29/03/2010;1.8056
30/03/2010;1.7944
31/03/2010;1.7802
01/04/2010;1.7693
05/04/2010;1.7565
06/04/2010;1.7597
07/04/2010;1.7654
08/04/2010;1.7798
09/04/2010;1.7722
12/04/2010;1.76
13/04/2010;1.7576
14/04/2010;1.7438
15/04/2010;1.7475
16/04/2010;1.755
19/04/2010;1.758
20/04/2010;1.7489
22/04/2010;1.7618
23/04/2010;1.7616
26/04/2010;1.7438
27/04/2010;1.7584
28/04/2010;1.755
29/04/2010;1.7313
30/04/2010;1.7298
03/05/2010;1.7307
04/05/2010;1.7549
05/05/2010;1.7854
06/05/2010;1.8345
07/05/2010;1.8335
10/05/2010;1.7825
11/05/2010;1.7835
12/05/2010;1.7715
13/05/2010;1.7729
14/05/2010;1.7959
17/05/2010;1.8037
18/05/2010;1.7913
19/05/2010;1.8358
20/05/2010;1.8669
21/05/2010;1.8702
24/05/2010;1.8514
25/05/2010;1.8803
26/05/2010;1.8453
27/05/2010;1.832
28/05/2010;1.8221
31/05/2010;1.8159
01/06/2010;1.8247
02/06/2010;1.8354
04/06/2010;1.8393
07/06/2010;1.8626
08/06/2010;1.865
09/06/2010;1.8415
10/06/2010;1.8177
11/06/2010;1.8117
14/06/2010;1.8022
15/06/2010;1.7963
16/06/2010;1.7885
17/06/2010;1.7809
18/06/2010;1.7753
21/06/2010;1.7655
22/06/2010;1.7672
23/06/2010;1.79
24/06/2010;1.7899
25/06/2010;1.7773
28/06/2010;1.7818
29/06/2010;1.8068
30/06/2010;1.8007
01/07/2010;1.7998
02/07/2010;1.7777
05/07/2010;1.7747
06/07/2010;1.7657
07/07/2010;1.7711
08/07/2010;1.7644
09/07/2010;1.7564
12/07/2010;1.7636
13/07/2010;1.7517
14/07/2010;1.7649
15/07/2010;1.7682
16/07/2010;1.7784
19/07/2010;1.7846
20/07/2010;1.7792
21/07/2010;1.7758
22/07/2010;1.7621
23/07/2010;1.7609
26/07/2010;1.7661
27/07/2010;1.765
28/07/2010;1.7642
29/07/2010;1.7635
30/07/2010;1.7564
02/08/2010;1.7481
03/08/2010;1.7586
04/08/2010;1.7555
05/08/2010;1.7527
06/08/2010;1.7558
09/08/2010;1.7529
10/08/2010;1.7568
11/08/2010;1.7655
12/08/2010;1.7723
13/08/2010;1.7708
16/08/2010;1.7631
17/08/2010;1.752
18/08/2010;1.7505
19/08/2010;1.7576
20/08/2010;1.7589
23/08/2010;1.7579
24/08/2010;1.7719
25/08/2010;1.766
26/08/2010;1.7588
27/08/2010;1.7536
30/08/2010;1.7583
31/08/2010;1.7552
01/09/2010;1.7433
02/09/2010;1.7359
03/09/2010;1.7273
06/09/2010;1.7251
08/09/2010;1.7223
09/09/2010;1.723
10/09/2010;1.7178
13/09/2010;1.7166
14/09/2010;1.7068
15/09/2010;1.7161
16/09/2010;1.7176
